,account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count,news_link
0,184096565021911,1035269309904628,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,2016-09-19,link,mostly true,,1.0,33.0,34.0,https://abcnews.go.com/Politics/impact-debates-debatable/story?id=42176433&cid=abcnp_fb
1,184096565021911,1035305953234297,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,2016-09-19,link,mostly true,,34.0,63.0,27.0,https://abcnews.go.com/US/source-suspect-wanted-nyc-area-bombing/story?id=42190675&cid=abcnp_fb
2,184096565021911,1035322636565962,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,2016-09-19,link,mostly true,,35.0,170.0,86.0,https://abcnews.go.com/Politics/donald-trump-repeats-calls-police-profiling-nyc-explosion/story?id=42191664&cid=abcnp_fb
3,184096565021911,1035366579894901,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,2016-09-19,link,mostly true,,23.0,28.0,21.0,https://abcnews.go.com/US/bombing-incidences-ny-nj-linked-sources/story?id=42190095&cid=abcnp_fb
4,184096565021911,1035430716555154,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,2016-09-19,link,mostly true,,7.0,62.0,64.0,https://abcnews.go.com/Politics/trump-surrogates-push-narrative-clinton-started-birtherism/story?id=42176658&cid=abcnp_fb
5,184096565021911,1035451683219724,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,2016-09-19,link,mostly true,,7.0,39.0,6.0,https://abcnews.go.com/US/bombing-incidences-ny-nj-linked-sources/story?id=42190095&cid=abcnp_fb
6,184096565021911,1035456253219267,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,2016-09-19,link,mostly true,,8.0,29.0,14.0,https://abcnews.go.com/US/bombing-incidences-ny-nj-linked-sources/story?id=42190095&cid=abcnp_fb
7,184096565021911,1035489746549251,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035489746549251,2016-09-19,link,mostly true,,,10.0,0.0,https://abcnews.go.com/International/woman-killed-children-injured-airstrikes-aleppo/story?id=42191300&cid=abcnp_fb
8,184096565021911,1035503133214579,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,2016-09-19,link,mostly true,,4.0,23.0,2.0,https://abcnews.go.com/International/syrian-military-us-russia-brokered-ceasefire/story?id=42198664&cid=abcnp_fb
9,184096565021911,1035532526544973,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973,2016-09-19,link,mostly true,,10.0,41.0,14.0,https://abcnews.go.com/US/source-suspect-wanted-nyc-area-bombing/story?id=42190675&cid=abcnp_fb
10,184096565021911,1035592746538951,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035592746538951,2016-09-19,link,mostly true,,15.0,276.0,74.0,https://abcnews.go.com/Politics/ivanka-trump-secret-service-protection/story?id=42196407&cid=abcnp_fb
